Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
12/08/2013,03:27:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,WEST DIAMOND AVE & 270,39.14012735,-77.2062697,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,CHRY,SEBRING,MAROON,Citation,21-902(a2),Transportation Article,Yes,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.14012735, -77.2062697)"
04/25/2014,07:22:00,MCP,"2nd district, Bethesda",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,POOKS HILL RD @ LINDEN AV,39.0132083333333,-77.1067883333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,HONDA,ACCORD,RED,Citation,13-409(b),Transportation Article,No,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,"(39.0132083333333, -77.1067883333333)"
04/21/2014,18:36:00,MCP,"3rd district, Silver Spring",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,I495 @ CONNECTICUT AVE,39.01092,-77.0909066666667,No,No,No,No,No,Yes,No,No,No,No,MD,05 - Light Duty Truck,2008,FORD,ESCAPE,GRAY,Citation,21-1124.2(d2),Transportation Article,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.01092, -77.0909066666667)"
04/20/2015,11:01:00,MCP,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,DEMOCRACY BLVD/SEVEN LOCKS RD,39.0235366666667,-77.1623216666667,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2013,HOND,PILOT,BLACK,Citation,21-1124.2(d2),Transportation Article,No,WHITE,F,DARNESTOWN,MD,MD,A - Marked Patrol,"(39.0235366666667, -77.1623216666667)"
03/01/2014,09:14:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,OLD GEORGETOWN RD X NICHOLSON LA,39.0432433333333,-77.121165,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,VOLK,2S,GREEN,Citation,13-401(h),Transportation Article,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,"(39.0432433333333, -77.121165)"
10/04/2013,08:32:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,SHADYGROVE RD @ MD 355,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,FORD,VN,WHITE,Citation,21-201(a1),Transportation Article,No,ASIAN,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
05/11/2014,01:06:00,MCP,"4th district, Wheaton",FAIL VEH DRIVER IN ACC.TO RPT. PROP DAMAGETO NEAREST POLICE,SHOREFIELD ROAD/SAWMILL COURT,39.058105,-77.0487616666667,No,No,No,No,No,No,No,No,No,No,MD,03 - Station Wagon,1999,TOYOTA,COROLLA,BLUE,Citation,20-104(d),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.058105, -77.0487616666667)"
04/02/2014,17:23:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,VEIRS MILL RD @ PENDLETON DR,39.0465466666667,-77.067225,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,HOND,TK,MAROON,Citation,13-401(h),Transportation Article,No,OTHER,F,ROCKVILLE,MD,MD,S - License Plate Recognition,"(39.0465466666667, -77.067225)"
02/10/2014,19:02:00,MCP,"4th district, Wheaton","FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEH.,",GEORGIA AVE/HEWITT AVE,39.0779366666667,-77.0692216666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HONDA,TRK,GRAY,Citation,20-103(a),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0779366666667, -77.0692216666667)"
05/03/2015,01:29:00,MCP,"2nd district, Bethesda",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,RIVER RD/FALLS RD,39.0199283333333,-77.211525,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,HYANDAI,SONATA,BLACK,Citation,21-204(b),Transportation Article,No,OTHER,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.0199283333333, -77.211525)"
02/20/2014,21:37:00,MCP,"3rd district, Silver Spring",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,UNIVERSITY BLVD EAST @ COLESVILLE ROAD,39.0201566666667,-77.0124466666667,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,MAZDA,4S,GOLD,Citation,21-1124.2(d2),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0201566666667, -77.0124466666667)"
02/22/2014,14:17:00,MCP,"4th district, Wheaton",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,GEORGIA AVE / ASPEN HILL RD,39.0798933333333,-77.0737466666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,CHRYSLER,SEBRING,SILVER,Citation,13-411(f),Transportation Article,No,BLACK,M,SYKESVILLE,MD,NY,A - Marked Patrol,"(39.0798933333333, -77.0737466666667)"
12/01/2013,00:44:00,MCP,"2nd district, Bethesda",DRIVER MAKING IMPROPER LEFT TURN AT RED SIGNAL,BONIFANT RD/ NEW HAMPSHIRE AVE,39.0584183333333,-77.0480483333333,No,No,No,No,No,No,No,No,No,No,MA,02 - Automobile,2013,HYUN,4S,SILVER,Citation,21-202(i2),Transportation Article,No,ASIAN,M,ANCHORAGE,AK,AK,A - Marked Patrol,"(39.0584183333333, -77.0480483333333)"
10/31/2013,02:00:00,MCP,"5th district, Germantown",DRIVING WHILE IMPAIRED BY ALCOHOL,CLARKSBURG SQUARE RD AT CATAWBA HILL DR,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,FORD,EXPLORER SPTR,BLUE,Citation,21-902(b1),Transportation Article,No,WHITE,M,CLARKSBURG,MD,MD,A - Marked Patrol,
03/07/2014,23:31:00,MCP,"4th district, Wheaton","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",VIERS MILL RD/MONTERAY DRIVE,39.04628,-77.0667016666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,HONDA,CIVIC,BLACK,Citation,22-201.1,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.04628, -77.0667016666667)"
01/20/2014,22:53:00,MCP,"2nd district, Bethesda","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",NORTHBOUND I-270 AT MONTROSE ROAD,39.0513533333333,-77.1520866666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,INFI,4S,GREEN,Citation,16-303(h),Transportation Article,No,WHITE,M,MOUNT AIRY,MD,MD,A - Marked Patrol,"(39.0513533333333, -77.1520866666667)"
02/17/2014,10:16:00,MCP,"4th district, Wheaton",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,LAYHILL RD/ MIDDLEBRIDGE DR,39.0810816666667,-77.0466466666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,TOYOTA,CAMRY,BLACK,Citation,21-310(a),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0810816666667, -77.0466466666667)"
01/12/2014,07:33:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEH. ON HWY. ON SUSPENDED LIC. AND PRIVILEGE,SB GEORGIA AVE @ SEMINARY RD,39.0052433333333,-77.0381783333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,TOYOTA,COROLLA,"BLUE, DARK",Citation,16-303(c),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0052433333333, -77.0381783333333)"
01/27/2014,09:21:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,BRIGGS RD & MIDDLEVALE LA,39.067775,-77.040595,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,MERC,4S,SILVER,Citation,13-401(h),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.067775, -77.040595)"
08/23/2014,22:00:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,STEWART LN AND COLUMBIA PIKE,39.058375,-77.0481983333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,NISSAN,MAXIMA,BLACK,Citation,21-902(a1),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.058375, -77.0481983333333)"
04/12/2014,07:33:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,GEORGIA AVE @ NORBECK ROAD,39.1078266666667,-77.0758916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,HONDA,ACCORD,SILVER,Citation,16-112(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1078266666667, -77.0758916666667)"
04/10/2015,22:05:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,CONNECTICUT/ GEORGIA,39.0867416666667,-77.079115,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,CHEV,MALIBU,SILVER,Citation,16-303(d),Transportation Article,No,WHITE,F,OLNEY,MD,MD,A - Marked Patrol,"(39.0867416666667, -77.079115)"
03/19/2014,00:10:00,MCP,"3rd district, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,650 UNIVERSITY BLVD E,39.0001066666667,-76.995265,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,NISSAN,ALTIMOA,BLACK,Citation,16-112(c),Transportation Article,No,BLACK,M,GLENN DALE,MD,MD,A - Marked Patrol,"(39.0001066666667, -76.995265)"
01/19/2014,02:17:00,MCP,"2nd district, Bethesda",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,FAIRMONT AVE / OLD GEORGETOWN RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HONDA,ACCORD,RED,Citation,21-204(d),Transportation Article,No,WHITE,F,OLNEY,MD,MD,A - Marked Patrol,
07/31/2014,11:00:00,MCP,"4th district, Wheaton",FAILURE YIELD RIGHT OF WAY ON LEFT TURN,MUNCASTER MILL RD/WINDSOR MANOR LN,39.11166,-77.0858533333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,LEXUS,ES 350,TAN,Citation,21-402(a),Transportation Article,No,ASIAN,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.11166, -77.0858533333333)"
01/18/2014,18:24:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,SHADY GROVE/270,39.1103183333333,-77.18791,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2001,FORD,F250,"BLUE, DARK",Citation,16-101(a),Transportation Article,No,HISPANIC,M,REISTERSTOWN,MD,XX,A - Marked Patrol,"(39.1103183333333, -77.18791)"
05/30/2014,09:10:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,GREAT SENECA HWY / LONGDRAFT RD,39.1306316666667,-77.2454816666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,HONDA,ACCORD,GRAY,Citation,13-409(b),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1306316666667, -77.2454816666667)"
12/15/2013,18:33:00,MCP,"2nd district, Bethesda",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,N/B 355 / STRATHMORE,39.032695,-77.1060133333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,TOYOTA,SIENNA,WHITE,Citation,21-801(b),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.032695, -77.1060133333333)"
01/30/2014,23:56:00,MCP,"3rd district, Silver Spring",OPERATOR NOT RESTRAINED BY SEATBELT,GEORGIA AVE / CAMERON ST,38.9977883333333,-77.030315,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,FORD,F150,BLACK,Citation,22-412.3(b),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9977883333333, -77.030315)"
12/19/2013,12:46:00,MCP,"5th district, Germantown",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,GREAT SENECA HWY/WISTERIA DR,39.17139,-77.2630766666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,HONDA,ACCORD,BLACK,Citation,16-101(a),Transportation Article,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.17139, -77.2630766666667)"
01/25/2014,22:29:00,MCP,"3rd district, Silver Spring","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",PINEYBRANCH RD/ARLISS,38.9985583333333,-77.0002666666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,NISS,4S,WHITE,Citation,22-201.1,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(38.9985583333333, -77.0002666666667)"
07/15/2014,18:17:00,MCP,"4th district, Wheaton",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,NORBECK RD @ BALTIMORE,39.0947566666667,-77.1141766666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,CHEVY,EQUINOX,WHITE,Citation,21-310(a),Transportation Article,No,WHITE,F,MIDDLE RIVER,MD,MD,A - Marked Patrol,"(39.0947566666667, -77.1141766666667)"
09/25/2013,00:21:00,MCP,"5th district, Germantown",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,RIDGE RD / GUE RD,39.302135,-77.189895,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,HOND,ACCORD 4S,GOLD,Citation,16-101(a),Transportation Article,No,BLACK,M,SALISBURY,MD,MD,A - Marked Patrol,"(39.302135, -77.189895)"
01/27/2014,22:01:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,BEL PRE RD / GEORGIA AVE,39.0936916666667,-77.0776983333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,HONDA,ACCORD,SILVER,Citation,16-112(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0936916666667, -77.0776983333333)"
01/09/2014,06:05:00,MCP,"3rd district, Silver Spring",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,WAYNE AVE / DALE DR,38.9842283333333,-77.1022966666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1995,FORD,MUSTANG,RED,Citation,21-204(b),Transportation Article,No,HISPANIC,M,HYATTSVILLE,MD,XX,A - Marked Patrol,"(38.9842283333333, -77.1022966666667)"
09/09/2015,10:08:00,MCP,"1st district, Rockville",FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED PROPERTY DAMAGE,FALLS RD / MONTROSE RD,39.0570683333333,-77.1884,No,Yes,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2009,CHRYSLER,SEBRING,WHITE,Citation,20-103(b),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0570683333333, -77.1884)"
01/16/2014,16:43:00,MCP,"4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",NORTH GATE @ BEL PRE,39.0695633333333,-77.16244,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,CHEVY,MALIBU,SILVER,Citation,16-303(h),Transportation Article,No,BLACK,M,ACCOKEEK,MD,MD,A - Marked Patrol,"(39.0695633333333, -77.16244)"
12/21/2013,17:33:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",E GUDE DR / DOVER RD,39.1008733333333,-77.1411883333333,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2004,CHEV,TK,TAN,Citation,16-303(h),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.1008733333333, -77.1411883333333)"
05/25/2014,15:33:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEH.DAMAGE,GOSHEN RD / MIDCOUNTY HWY,39.0454383333333,-76.99038,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,1994,CHRYSLER,LEBARON,GREEN,Citation,20-103(b),Transportation Article,Yes,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.0454383333333, -76.99038)"
02/10/2014,20:43:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,VEIRS MILL RD/NEWPORT MILL RD,39.0488816666667,-77.0688666666667,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2000,FORD,BOX TRUCK,WHITE,Citation,21-201(a1),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0488816666667, -77.0688666666667)"
06/27/2014,11:40:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,COLUMBIA PIKE/STEWART LANE,39.0461466666667,-76.987545,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,HUMMER,H3,GRAY,Citation,13-401(h),Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.0461466666667, -76.987545)"
09/11/2014,10:51:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 30 MPH ZONE,500 PERRY PKWY,39.1472933333333,-77.2139683333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,HYUN,ELANTRA,BLACK,Citation,21-801.1,Transportation Article,No,BLACK,M,NORTH POTOMAC,MD,MD,Q - Marked Laser,"(39.1472933333333, -77.2139683333333)"
05/19/2014,18:27:00,MCP,"3rd district, Silver Spring",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,NEW HAMPSHIRE AVE @ POWDER MILL RD,39.0213991,-76.9769867666667,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2002,GMC,YUKON,BLACK,Citation,13-411(c1),Transportation Article,No,HISPANIC,M,COLLEGE PARK,MD,MD,A - Marked Patrol,"(39.0213991, -76.9769867666667)"
06/29/2013,21:13:00,MCP,"3rd district, Silver Spring",FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,NB GEORGIA AVE @ ELLSWORTH DR,38.99625,-77.02803,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,1996,BUICK,4S,WHITE,Citation,22-219(a),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(38.99625, -77.02803)"
06/12/2014,13:58:00,MCP,"4th district, Wheaton",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,GEORGIA AVE\CONNECTICUT AVE,39.0847583333333,-77.0782533333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,TOYT,4S,WHITE,Citation,16-116(a),Transportation Article,No,WHITE,F,SANDY SPRING,MD,MD,A - Marked Patrol,"(39.0847583333333, -77.0782533333333)"
05/26/2014,23:48:00,MCP,"6th district, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",CENTERWAY RD/CENTERWAY CT,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,FORD,TAURUS,SILVER,Citation,16-303(h),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,
07/12/2014,22:30:00,MCP,"4th district, Wheaton",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,ASPEN HILL/ CONNECTICUT,39.0799883333333,-77.08116,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,MITSUBUSHI,MONTERO,BLACK,Citation,21-402(a),Transportation Article,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0799883333333, -77.08116)"
11/30/2014,15:21:00,MCP,"3rd district, Silver Spring",DRIVING WHILE IMPAIRED BY ALCOHOL,FOREST GLENN RD / SLIGO CREEK PKWY,39.0428566666667,-76.99053,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,MERC,4S,GRAY,Citation,21-902(b1),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0428566666667, -76.99053)"
10/10/2014,18:09:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,ROSEMONT DR AT ROSEMONT CIR,,,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2014,JEEP,CHEROKEE,GRAY,Citation,21-201(a1),Transportation Article,No,BLACK,M,BELLE MEAD,NJ,NJ,A - Marked Patrol,
07/27/2014,03:01:00,MCP,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,GLENBROOK RD AT WESSLING LANE,,,No,No,No,No,No,No,No,No,No,No,MD,01 - Motorcycle,2013,KIA,RIO,SILVER,Citation,21-902(b1),Transportation Article,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,
07/14/2014,10:48:00,MCP,"4th district, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,PARK VISTA DR @ MASSANUTTEN DR,39.1057866666667,-77.050975,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,LEXUS,RX350,GOLD,Citation,21-1124.2(d2),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1057866666667, -77.050975)"
04/27/2015,01:26:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,10820 GEORGIA AVE,39.0581733333333,-77.0486216666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,INFINITI,I35,BEIGE,Citation,21-309(d),Transportation Article,No,HISPANIC,M,LANHAM,MD,MD,A - Marked Patrol,"(39.0581733333333, -77.0486216666667)"
06/22/2014,12:43:00,MCP,"2nd district, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,LONE OAK/OLD GEORGETOWN RD,39.01972,-77.1208916666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,HONDA,ODYSSEY,RED,Citation,13-401(h),Transportation Article,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,"(39.01972, -77.1208916666667)"
09/30/2014,10:49:00,MCP,"4th district, Wheaton",FAILURE TO STOP AT STOP SIGN,BEL PRE RD / ARCTIC AVE,39.0952166666667,-77.092055,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,HONDA,ACCORD,"BLUE, DARK",Citation,21-707(a),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0952166666667, -77.092055)"
08/19/2014,23:18:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,CONNECTICUT AVE @ RANDOLPH RD,39.0493333333333,-77.0703066666667,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,1998,HONDA,CIVIC,BLUE,Citation,16-303(c),Transportation Article,No,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0493333333333, -77.0703066666667)"
09/22/2014,22:18:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",1319 ROCKVILLE PIKE,39.0688066666667,-77.130465,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,HYUNDAI,SONATA,SILVER,Citation,16-303(h),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0688066666667, -77.130465)"
08/14/2014,04:53:00,MCP,"2nd district, Bethesda",DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,EAST WEST HWY @ JONES MILL RD,38.993795,-77.0632533333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,MERZ,TK,TAN,Citation,21-202(i1),Transportation Article,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,"(38.993795, -77.0632533333333)"
04/26/2014,14:48:00,MCP,"4th district, Wheaton",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,LAYHILL ROAD / BEL PRE RD,39.0906683333333,-77.044995,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1995,HONDA,4S,"BLUE, LIGHT",Citation,21-402(a),Transportation Article,Yes,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0906683333333, -77.044995)"
12/08/2015,12:33:00,MCP,"4th district, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,GOOD HOPE RD / GOOD HOPE DR,39.0937233333333,-76.9925933333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,HONDA,ACCORD,"BLUE, DARK",Citation,21-1124.2(d2),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0937233333333, -76.9925933333333)"
